numeral,enticve1,entifed1,ubicageo_e,municip1,vehreptt,vehrep1,vehrep2,vehrep3,vehreps1,vehrep4,vehrep5,vehrep6,vehreps2,vehrep8,vehrep9,vehrep10,vehreps3,vehrep12,vehrep13,vehrep14
187,07,CHIAPAS,7104,TZIMOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,07,CHIAPAS,7105,UNION JUAREZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,07,CHIAPAS,7106,VENUSTIANO CARRANZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,07,CHIAPAS,7107,VILLA CORZO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,07,CHIAPAS,7108,VILLAFLORES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,07,CHIAPAS,7109,YAJALON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,07,CHIAPAS,7110,SAN LUCAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,07,CHIAPAS,7111,ZINACANTAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,07,CHIAPAS,7112,SAN JUAN CANCUC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,07,CHIAPAS,7113,ALDAMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,07,CHIAPAS,7114,BENEMERITO DE LAS AMERICAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,07,CHIAPAS,7115,MARAVILLA TENEJAPA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,07,CHIAPAS,7116,MARQUES DE COMILLAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,07,CHIAPAS,7117,MONTECRISTO DE GUERRERO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,07,CHIAPAS,7118,SAN ANDRES DURAZNAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,07,CHIAPAS,7119,SANTIAGO EL PINAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,07,CHIAPAS,7120,CAPITAN LUIS ANGEL VIDAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,07,CHIAPAS,7121,RINCON CHAMULA SAN PEDRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,07,CHIAPAS,7122,EL PARRAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,07,CHIAPAS,7123,EMILIANO ZAPATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,07,CHIAPAS,7124,MEZCALAPA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,07,CHIAPAS,7125,HONDURAS DE LA SIERRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,08,CHIHUAHUA,8001,AHUMADA,50,2,48,0,0,0,0,0,0,0,0,0,50,2,48,0
210,08,CHIHUAHUA,8002,ALDAMA,3,1,2,0,0,0,0,0,0,0,0,0,3,1,2,0
211,08,CHIHUAHUA,8003,ALLENDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,08,CHIHUAHUA,8004,AQUILES SERDAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,08,CHIHUAHUA,8005,ASCENSION,38,2,36,0,0,0,0,0,0,0,0,0,38,2,36,0
214,08,CHIHUAHUA,8006,BACHINIVA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,08,CHIHUAHUA,8007,BALLEZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,08,CHIHUAHUA,8008,BATOPILAS DE MANUEL GOMEZ MORIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,08,CHIHUAHUA,8009,BOCOYNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,08,CHIHUAHUA,8010,BUENAVENTURA,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
219,08,CHIHUAHUA,8011,CAMARGO,6,0,6,0,0,0,0,0,0,0,0,0,6,0,6,0
220,08,CHIHUAHUA,8012,CARICHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,08,CHIHUAHUA,8013,CASAS GRANDES,6,0,6,0,0,0,0,0,0,0,0,0,6,0,6,0
222,08,CHIHUAHUA,8014,CORONADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,08,CHIHUAHUA,8015,COYAME DEL SOTOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,08,CHIHUAHUA,8016,LA CRUZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,08,CHIHUAHUA,8017,CUAUHTEMOC,16,6,10,0,0,0,0,0,0,0,0,0,16,6,10,0
226,08,CHIHUAHUA,8018,CUSIHUIRIACHI,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
227,08,CHIHUAHUA,8019,CHIHUAHUA,149,35,114,0,1,0,1,0,0,0,0,0,148,35,113,0
228,08,CHIHUAHUA,8020,CHINIPAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,08,CHIHUAHUA,8021,DELICIAS,73,8,65,0,0,0,0,0,0,0,0,0,73,8,65,0
230,08,CHIHUAHUA,8022,DR BELISARIO DOMINGUEZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
